field,quad,subquad,raedge1,raedge2,decedge1,decedge2
7,3,1,261.23995837883496,302.56928222225093,87.24216026385704,88.02499341568124
7,3,2,278.2517808123811,304.0180994683634,85.80402149799178,86.27141423079472
7,3,3,285.3707432458562,320.7938592483114,86.96288818500719,87.04761945618753
8,0,0,279.11136039705536,287.2802337816032,83.0045485799254,84.60418533803349
8,0,1,274.9063088267624,283.73351043832713,84.15306617133977,85.80947685743759
8,0,2,289.18941317177075,300.5910286028537,83.32972318445744,84.72185173228334
8,0,3,286.887820222892,300.9604247585981,84.54655123520863,85.96181604216993
8,1,0,268.71569391669385,277.3757674283232,85.25655615931859,86.98684103416657
8,1,1,258.96438493863,263.3960681728454,86.2698895114139,88.08022235717816
8,1,2,283.28269240731953,301.6726750675765,85.75112449321621,87.20290449194779
8,1,3,276.87575929627826,303.5079530616506,86.92368295633673,88.44093837298458
8,2,0,299.9379802688967,313.78884128968826,83.43360864765314,84.55133709311353
8,2,1,300.0743674557452,317.9410250871232,84.67397601257137,85.7421172076864
8,2,2,310.6396072325298,325.60275583344423,83.30449069092134,84.11906197034189
8,2,3,313.17149688581344,332.1476038521733,84.51611649378928,85.201627983125
8,3,0,300.3047631041188,325.24243684410084,85.91647941540708,86.89440792559476
8,3,1,300.7016761033843,340.4301107761447,87.1558765464001,87.93868563565303
